,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,EndgameChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
140,Agneya and Agneya,qm3,red,2,6863,true,,1.0,1.0,,None, | ,5H|7H,0.0, | ,Engage,Dock,, | ,0.0,1.0,0.0,0.0,1.0, | 
141,sarah and Saragha,qm30,blue,2,1731,true,8H|9H,0.0,1.0,,None, | ,4M|4H|5Lcube|5M|5H|6M|7Lcube|7H|8M,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,5.0, | 
142,Sophia T and Suhani,qm30,blue,3,2377,true,6H,0.0,0.0,Engage,Engage, | ,,0.0,tipped over by itself | Tipped over,,None,, | ,1.0,0.5,0.0,0.0,1.0, | 
143,Rachel and Blen Shiferaw,qm30,blue,,6802,true,1H,0.0,1.0,,, | ,5Lcube|7M|9M,0.0, | ,Engage,Engage,2.6, | ,0.0,0.5,0.0,0.0,2.0, | 
144,Shashwat and Adrian Sun,qm30,red,2,1895,true,9Lcone,0.5,1.0,,None, | ,3Lcone|5Lcone|5M|7Lcone|8Lcube,0.0, | ,,None,, | Disabled for about 10 seconds,1.0,0.0,0.0,0.0,2.0, | 
145,Owen and alexander,qm30,red,,2363,true,1Lcone|2Lcone,0.5,0.0,,None, | ,1M|1H|2M|2H|3Lcone|3H|4M|4H|5H,0.0, | ,,Engage,,Quick balancing  | ,0.0,0.0,10.0,1.0,5.0,Best driving and very coordinated and cycles where very fast  | 
146,Aran and Amogh,qm30,red,,8592,true,6H,0.0,1.0,Engage,Engage, | ,3M|4M|7M|7H|8M|9M|9H,0.0, | ,,Engage,, | ,0.0,0.0,0.0,0.0,2.5, | 
147,Sri and Nicole,qm31,blue,3,612,true,5Lcube,0.0,0.0,Engage,Engage, | ,1M|3Lcube|3M|8Lcube,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.0, | 
148,Eckart,qm31,blue,,4456,false,8M,0.0,1.0,,None,,1H|3H|6Lcone|6H|9Lcone|9H,0.0,,,Park,,,0.0,0.0,0.0,0.0,4.0,
149,Olivia  and Hannah,qm31,blue,2,7770,true,8H,0.0,1.0,,, | ,2M|2H|3Lcube|8M|9Lcube,0.5, | ,Engage,Engage,, | didnt get charge station time ,0.0,0.0,0.0,0.0,1.0,Slow at driving | 
150,Sydney  and Jeff,qm31,red,,116,true,4H,0.0,1.0,,None, | ,4H|6H|7H|9H,0.0,Struggled lining up to place high cone | Has problems coordinating ,Engage,Engage,, | Struggled to place cone on high ,0.0,0.0,0.0,0.0,4.0, | 
151,aarav,qm31,red,2,5549,false,,0.0,0.0,,None,,2Lcube|5Lcube,3.0,shooting tends to miss or bounce out,Engage,None,,partially on,0.0,0.0,0.0,0.0,2.0,
152,Chris,qm31,red,3,9072,true,,1.0,1.0,,,,1Lcube|2Lcube|3Lcube,0.0,,Engage,Engage,15,,0.0,1.0,40.0,1.0,0.0,
153,Nicole and Sri,qm32,blue,3,5115,true,5Lcube,0.0,0.0,Engage,Engage, | ,1Lcone|1H|2M|3Lcone,0.0, | ,,None,, | ,0.0,0.0,0.0,0.0,3.0, | not consistent picking up cones from double sub 
154,Hannah and Olivia,qm32,blue,2,5338,true,9H,0.0,1.0,,, | ,4H|5H|6Lcone|6H|7Lcube|7H|8H,0.0, | ,Engage,Engage,2.5, | ,0.0,0.0,0.0,0.0,1.0, | 
155,Eckart,qm32,blue,,9033,true,2H,0.0,1.0,,None,,3H|4Lcone,0.0,Struggled intaking from double substation ,Engage,Engage,2.2,,0.0,0.0,0.0,0.0,2.0,
156,Arav,qm32,red,2,611,true,2H,0.0,1.0,,,,2M|3H|4H,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,2.0,
157,Chris and darren,qm32,red,3,888,true,5H,0.0,0.0,Engage,Dock, | ,6H,2.0, | ,,None,, | ,0.0,0.0,0.0,0.0,1.0,Slow and inaccurate  | 
158,Jeff and Sydney,qm32,red,,2106,true,9H,0.0,0.0,,None, | ,7H,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.5,Driving was all over the place and pretty uncoordinated  | 
159,Eckart,qm33,blue,,422,true,8Lcube|8H|9H,0.0,1.0,,,,6M|6H|7Lcone|7M|7H|8M|9M,0.0,,Engage,Engage,8.1,,0.0,0.0,0.0,0.0,5.0,
160,Nicole and Sri,qm33,blue,3,1123,true,5H,0.0,1.0,,, | ,2H|5M|6H,0.5, | ,Engage,Engage,, | ,0.0,0.0,10.0,1.0,2.0, | 
161,Olivia and Hannah,qm33,blue,2,5587,true,8Lcone,0.0,1.0,,, | ,4Lcube|5Lcube|7Lcube|9Lcube,1.0, | ,Engage,Engage,11.3, | ,0.0,0.0,0.0,0.0,1.0, | 
