,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
77,Shashwat,qm110,blue,2,1023,true,1M,1.0,1.0,None,None,,2M|3M|4Lcube|4M|5M|6M|7Lcube|7M|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
78,Nikhil,qm110,blue,1,6606,true,,0.0,1.0,None,None,,8Lcube|8M|8H,1.0,,None,Park,,,0.0,1.0,0.0,0.0,4.0,
79,Suzy,qm110,red,1,3184,true,9H,1.0,0.0,None,None,,8H|7M|6H|4H|3H|2H|1H,0.0,,Engage,Engage,11,,0.0,0.0,0.0,0.0,4.0,Very speedy with double substation
80,Blen,qm110,red,2,5172,true,,0.0,0.0,None,,,9M|7H|6Lcone|5H|4M,2.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
81,darren,qm110,red,3,8847,true,2M,0.0,1.0,None,,,8M|5Lcube|4Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
82,Shashwat,qm111,blue,2,177,false,1Lcone|2Lcube,1.0,1.0,None,None,,3H|4M|5M|6M|6H|8Lcube|9Lcube,1.0,,None,None,,,0.0,0.0,0.0,0.0,0.0,
83,Nikhil,qm111,blue,1,1629,true,5H,0.0,1.0,Engage,Engage,,7M|7H|9H,0.0,Started bugging a bit at 40 seconds left in match,Engage,None,,,0.0,0.0,0.0,0.0,4.0,
84,Rachel,qm111,blue,3,7617,true,8M|9M,0.0,1.0,None,None,,1M|1H|2M|2H|3Lcube|3M|3H,0.0,,Engage,Dock,4,,0.0,0.0,0.0,0.0,0.0,
85,Chris,qm111,red,1,5553,true,,1.0,1.0,None,,,9H|8H|3H,1.0,,Engage,Engage,15,,0.0,0.0,0.0,0.0,0.0,
86,Blen,qm111,red,2,7428,true,5H,0.0,0.0,Engage,Engage,,9M|7M|6M|1M,0.0,struggled to intake cones from double substation ,None,Park,,,0.0,0.0,0.0,0.0,2.0,
87,alexander,qm111,red,3,8808,true,2M,0.0,1.0,None,None,,8Lcube|8M|6Lcube|5M|2H,0.0,,Engage,Engage,,Double engage,0.0,0.0,0.0,0.0,4.0,Gave space for teammates
88,Shashwat,qm112,blue,2,2960,true,5H,0.0,1.0,Engage,Engage,,,0.0,,Engage,Dock,,,0.0,0.0,100.0,1.0,0.0,
89,Rachel,qm112,blue,3,5274,true,2M,0.0,1.0,None,None,,1M|3M|4M|6M,0.0,,Engage,Dock,,,0.0,0.0,0.0,0.0,0.0,
90,Nikhil,qm112,blue,1,5990,true,9H,0.0,1.0,None,None,Missed grabbing cube,1H|4H|5M|6H|7H|8M|8H,0.0,,Engage,Dock,,,0.0,0.0,0.0,0.0,5.0,
91,alexander,qm112,red,3,1836,true,5Lcube,0.0,1.0,Engage,Engage,,9Lcube|8Lcube|7Lcube|6Lcube,0.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,0.0,
92,Blen,qm112,red,2,2992,true,9H|8H,0.0,1.0,None,,,9H|7Lcone|7H|6Lcube|6H|5H|5H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
93,Chris,qm112,red,1,4099,true,1H,0.0,1.0,None,,,4H|3H|2Lcube|2M|1Lcone|1M|2H,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,5.0,
